"Checkout","Zur Kassa"
"Checkout Method","Wie möchten Sie zur Kassa gehen?"
"Checkout as Guest","Als Gast zur Kassa gehen"
"Checkout as a Guest or Register","Als Gast zur Kassa oder registrieren"
"Checkout with Multiple Addresses","Zur Kassa mit mehreren Adressen"
"Proceed to Checkout","Zur Kassa gehen"
